id;name;description;price;size;image;image_content_type
1;ha every whose;pish phew cylindrical;12148.93;XL;../fake-data/blob/hipster.png;image/png
2;than scheme;oof abridge doll;15501.75;XL;../fake-data/blob/hipster.png;image/png
3;organic diligent;although lest;6216.01;XL;../fake-data/blob/hipster.png;image/png
4;bah vainly;unpleasant diploma;8114.38;XXL;../fake-data/blob/hipster.png;image/png
5;mid table;respectful rinse thoroughly;29542.03;S;../fake-data/blob/hipster.png;image/png
6;ah playfully;snack;13016.26;M;../fake-data/blob/hipster.png;image/png
7;unsteady ecosystem;difficult;8233.23;M;../fake-data/blob/hipster.png;image/png
8;oh hmph;even but whether;11928.58;XXL;../fake-data/blob/hipster.png;image/png
9;next fav width;slash out plywood;24863.52;M;../fake-data/blob/hipster.png;image/png
10;suburban;pricey riot;5657.82;M;../fake-data/blob/hipster.png;image/png
